timestamp,cpu,rss,vms,fds
0.0,6.23125,11.34765625,28.44921875,3
0.2,6.2375,11.5078125,28.74609375,3
0.4,6.23125,11.5078125,28.74609375,3
0.6,6.23125,11.5078125,28.74609375,3
0.8,6.23125,11.5078125,28.74609375,3
1.0,6.2375,11.5078125,28.74609375,3
1.2,6.2375,11.76171875,28.80078125,3
1.4,6.2375,11.76171875,29.05078125,3
1.6,6.23125,11.76171875,29.05078125,3
1.8,6.85625,11.76171875,29.05078125,3
2.0,6.2375,11.76171875,29.05078125,3
2.2,6.2375,12.01953125,29.11328125,3
2.4,6.85625,12.01953125,29.11328125,3
2.6,6.2375,12.01953125,29.11328125,3
2.8,6.2375,12.01953125,29.36328125,3
3.0,6.2375,12.01953125,29.36328125,3
3.2,6.2375,12.01953125,29.36328125,3
3.4,6.2375,12.27734375,29.36328125,3
3.6,6.2375,12.27734375,29.36328125,3
3.8,6.2375,12.33984375,29.43359375,3
4.0,6.2375,12.33984375,29.43359375,3
4.2,6.2375,12.33984375,29.68359375,3
4.4,6.2375,12.33984375,29.68359375,3
4.6,5.6125,12.33984375,29.68359375,3
4.8,6.2375,12.33984375,29.68359375,3
5.0,6.2375,12.33984375,29.68359375,3
5.2,6.2375,12.59375,29.68359375,3
5.4,6.2375,12.59375,29.68359375,3
5.6,6.2375,12.59375,29.68359375,3
5.8,6.2375,12.69140625,29.7578125,3
6.0,6.2375,12.69140625,29.7578125,3
6.2,6.2375,12.69140625,30.0078125,3
6.4,6.2375,12.69140625,30.0078125,3
6.6,6.2375,12.69140625,30.0078125,3
6.8,6.2375,12.69140625,30.0078125,3
7.0,6.2375,12.69140625,30.0078125,3
7.2,6.23125,12.69140625,30.0078125,3
7.4,5.6125,12.9453125,30.0078125,3
7.6,6.2375,12.9453125,30.0078125,3
7.8,6.2375,12.9453125,30.0078125,3
8.0,6.23125,12.9453125,30.0078125,3
8.2,6.2375,12.9453125,30.2578125,3
8.4,6.2375,12.9453125,30.34765625,3
8.6,6.2375,12.9453125,30.34765625,3
8.8,6.2375,12.9453125,30.34765625,3
9.0,6.2375,12.9453125,30.34765625,3
9.2,6.2375,12.9453125,30.34765625,3
9.4,6.2375,13.203125,30.34765625,3
9.6,6.2375,13.203125,30.34765625,3
9.8,6.2375,13.203125,30.34765625,3
10.0,6.2375,13.203125,30.34765625,3
